no,StudentID,firstName,lastName,gender,dob,socialID,Class,password
1,23125042,Nghia,Le Minh,0,16/9/2005,111111,APCS1,123
2,23125055,Han,Nguyen Hoang Gia,1,12/3/2005,111112,APCS1,123
3,23125072,Thinh,Tran Nguyen Phuc,0,12/3/2005,111113,APCS1,123
4,23125033,Hai,Tran Phuoc,0,30/4/2005,111114,APCS1,123
5,23125083,Khai,Vo Lam,0,7/5/2005,111115,APCS1,123
6,10000000,A,Nguyen Van,0,1/1/2005,11123,ITCLC1,123
7,10000001,B,Nguyen Thi,1,29/2/2004,111156,ITCTT2,123
8,11111111,Chien,Tran Van,0,31/12/2005,123123,ITCTT2,123
9,23120120,Nguyen,Hoang Thao,1,12/31/2005,555555,,123
10,23125078,Chau,Le Kim,0,21/01/2005,111000,,123
