no,StudentID,FirstName,LastName,Gender,DateOfBirth,SocialID
1,23125033,Hai,Tran Phuoc,0,30/4/2005,111115
2,23125055,Han,Nguyen Hoang Gia,1,2/9/2005,111118
3,23125072,Thinh,Tran Nguyen Phuc,0,19/8/2005,111222
4,23125083,Khai,Vo Lam,0,7/5/2005,111234
5,23125042,Nghia,Le Minh,0,16/9/2005,11112
6,23125078,Chau,Le Kim,0,21/01/2005,111000
7,10000000,A,Nguyen Van,0,1/1/2005,111111
8,10000001,B,Nguyen Thi,1,29/2/2004,111113
9,23120120,Nguyen,Hoang Thao,1,12/31/2005,555555
10,11111111,Chien,Tran Van,0,31/12/2005,123123
